filename	lane_id	seq_id	sample_id	Count	batch
WTCHG_503466_201106	503466	201106	NCL00173	3314152	6
WTCHG_503466_202118	503466	202118	NCL00176	3420996	6
WTCHG_503466_203130	503466	203130	NCL00172	3946749	6
WTCHG_503466_204142	503466	204142	LRA00006	676284	6
WTCHG_503466_205154	503466	205154	LRA00011	3890916	6
WTCHG_503466_206166	503466	206166	LRA00013	3702996	6
WTCHG_503466_207178	503466	207178	NCL00174	4018765	6
WTCHG_503466_208190	503466	208190	NCL00175	3323822	6
WTCHG_503466_209107	503466	209107	NCL00177	3291959	6
WTCHG_503466_210119	503466	210119	BHM00275	3572262	6
WTCHG_503466_211131	503466	211131	NCL00179	3719377	6
WTCHG_503466_212143	503466	212143	NCL00178	3512217	6
WTCHG_503466_213155	503466	213155	BHM00284	3068102	6
WTCHG_503466_214167	503466	214167	BHM00292	3658469	6
WTCHG_503466_215179	503466	215179	NCL00180	3129772	6
WTCHG_503466_216191	503466	216191	NCL00181	3582353	6
WTCHG_503466_217108	503466	217108	NCL00182	2845454	6
WTCHG_503466_218120	503466	218120	NCL00183	3474778	6
WTCHG_503466_219132	503466	219132	BHM00281	3594323	6
WTCHG_503466_220144	503466	220144	BHM00266	3297585	6
WTCHG_503466_221156	503466	221156	NCL00184	3678854	6
WTCHG_503466_222168	503466	222168	NCL00185	3514951	6
WTCHG_503466_223180	503466	223180	OAS00095	3667308	6
WTCHG_503466_224192	503466	224192	BHM00263	3877798	6
WTCHG_503466_225109	503466	225109	BHM00295	3968869	6
WTCHG_503466_226121	503466	226121	OAS00093	4036227	6
WTCHG_503466_227133	503466	227133	NCL00187	3299137	6
WTCHG_503466_228145	503466	228145	BHM00257	3103547	6
WTCHG_503466_229157	503466	229157	LRA00010	3315968	6
WTCHG_503466_230169	503466	230169	NCL00188	3778583	6
WTCHG_503466_231181	503466	231181	BHM00236	3145034	6
WTCHG_503466_232193	503466	232193	BHM00265	3136346	6
WTCHG_503466_233110	503466	233110	BHM00269	3664306	6
WTCHG_503466_234122	503466	234122	BHM00270	3153799	6
WTCHG_503466_235134	503466	235134	BHM00273	4214034	6
WTCHG_503466_236146	503466	236146	BHM00296	3453238	6
WTCHG_503466_237158	503466	237158	BHM00298	4007445	6
WTCHG_503466_238170	503466	238170	BHM00299	3531332	6
WTCHG_503466_239182	503466	239182	BHM00300	2941591	6
WTCHG_503466_240194	503466	240194	BHM00301	3499346	6
WTCHG_503466_241111	503466	241111	BHM00302	4407353	6
WTCHG_503466_242123	503466	242123	BHM00305	3962733	6
WTCHG_503466_243135	503466	243135	BHM00306	3251621	6
WTCHG_503466_244147	503466	244147	BHM00307	3399713	6
WTCHG_503466_245159	503466	245159	BHM00308	3724388	6
WTCHG_503466_246171	503466	246171	BHM00310	3677987	6
