WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_441199_247114	441199	247114	B1026V6	1383489	3
WTCHG_441199_247183	441199	247183	B1027V5	281264	3
WTCHG_441199_248102	441199	248102	B1026V7	1712724	3
WTCHG_441199_248195	441199	248195	B1027V6	1493517	3
WTCHG_441199_249112	441199	249112	B1029V1	1713167	3
WTCHG_441199_249185	441199	249185	B1028V2	1714011	3
WTCHG_441199_250124	441199	250124	B1029V2	1773052	3
WTCHG_441199_250173	441199	250173	B1028V4	2582	3
WTCHG_441199_251136	441199	251136	B1029V3	1470087	3
WTCHG_441199_251161	441199	251161	B1028V5	357151	3
WTCHG_441199_252148	441199	252148	B1029V4	1789137	3
WTCHG_441199_252149	441199	252149	B1028V7	1907827	3
WTCHG_441199_253137	441199	253137	B1031V3	1702978	3
WTCHG_441199_253160	441199	253160	B1029V5	1714298	3
WTCHG_441199_254125	441199	254125	B1031V4	1805172	3
WTCHG_441199_254172	441199	254172	B1029V6	1730703	3
WTCHG_441199_255113	441199	255113	B1031V5	1852777	3
WTCHG_441199_255184	441199	255184	B1029V7	1164209	3
WTCHG_441199_256101	441199	256101	B1031V6	1500537	3
WTCHG_441199_256196	441199	256196	B1034V1	1344857	3
WTCHG_441199_257101	441199	257101	B1001V2	1433843	3
WTCHG_441199_257196	441199	257196	B1034V2	1920925	3
WTCHG_441199_258113	441199	258113	B1001V3	524005	3
WTCHG_441199_258184	441199	258184	B1034V3	1675352	3
WTCHG_441199_259125	441199	259125	B1001V4	1246970	3
WTCHG_441199_259172	441199	259172	B1034V4	1622057	3
WTCHG_441199_260137	441199	260137	B1001V5	2197981	3
WTCHG_441199_260160	441199	260160	B1034V5	1667403	3
WTCHG_441199_261148	441199	261148	B1034V6	1777730	3
WTCHG_441199_261149	441199	261149	B1001V6	1597740	3
WTCHG_441199_262136	441199	262136	B1034V7	1919624	3
WTCHG_441199_262161	441199	262161	B1001V7	1347380	3
WTCHG_441199_263124	441199	263124	B1037V1	333109	3
WTCHG_441199_263173	441199	263173	B1003V1	1100030	3
WTCHG_441199_264112	441199	264112	B1037V2	1628841	3
WTCHG_441199_264185	441199	264185	B1003V2	1202627	3
WTCHG_441199_265102	441199	265102	B1003V3	1085327	3
WTCHG_441199_265195	441199	265195	B1037V3	1819305	3
WTCHG_441199_266114	441199	266114	B1003V4	1598459	3
WTCHG_441199_266183	441199	266183	B1037V4	1763409	3
WTCHG_441199_267126	441199	267126	B1003V5	1246517	3
WTCHG_441199_267171	441199	267171	B1037V5	1554316	3
WTCHG_441199_268138	441199	268138	B1003V6	1594171	3
WTCHG_441199_268159	441199	268159	B1037V6	1613596	3
WTCHG_441199_269147	441199	269147	B1036V1	1691755	3
WTCHG_441199_269150	441199	269150	B1003V7	1349384	3
WTCHG_441199_270135	441199	270135	B1036V2	1430822	3
WTCHG_441199_270162	441199	270162	B1004V3	1226673	3
WTCHG_441199_271123	441199	271123	B1036V3	1511012	3
WTCHG_441199_271174	441199	271174	B1004V5	1261158	3
WTCHG_441199_272111	441199	272111	B1036V5	1883748	3
WTCHG_441199_272186	441199	272186	B1004V6	1801028	3
WTCHG_441199_273103	441199	273103	B1004V7	1467661	3
WTCHG_441199_273194	441199	273194	B1036V6	886530	3
WTCHG_441199_274115	441199	274115	B1005V1	1421590	3
WTCHG_441199_274182	441199	274182	B1002V1	1175847	3
WTCHG_441199_275127	441199	275127	B1005V2	1628471	3
WTCHG_441199_275170	441199	275170	B1002V2	1399558	3
WTCHG_441199_276139	441199	276139	B1005V3	1306000	3
WTCHG_441199_276158	441199	276158	B1002V3	92634	3
WTCHG_441199_277146	441199	277146	B1002V4	1341460	3
WTCHG_441199_277151	441199	277151	B1005V4	1631853	3
WTCHG_441199_278134	441199	278134	B1002V5	1384816	3
WTCHG_441199_278163	441199	278163	B1005V5	1821345	3
WTCHG_441199_279122	441199	279122	B1002V6	1338748	3
WTCHG_441199_279175	441199	279175	B1005V6	1277795	3
WTCHG_441199_280110	441199	280110	B1002V7	1585169	3
WTCHG_441199_280187	441199	280187	B1005V7	1437476	3
WTCHG_441199_281104	441199	281104	B1008V1	1655064	3
WTCHG_441199_281193	441199	281193	B1011V2	1327349	3
WTCHG_441199_282116	441199	282116	B1008V3	1351718	3
WTCHG_441199_282181	441199	282181	B1011V3	1244176	3
WTCHG_441199_283128	441199	283128	B1008V4	1460855	3
WTCHG_441199_283169	441199	283169	B1011V4	1082887	3
WTCHG_441199_284140	441199	284140	B1008V5	2890447	3
WTCHG_441199_284157	441199	284157	B1011V5	1319383	3
WTCHG_441199_285145	441199	285145	B1011V6	1143180	3
WTCHG_441199_285152	441199	285152	B1008V6	1333591	3
WTCHG_441199_286133	441199	286133	B1011V7	1220817	3
WTCHG_441199_286164	441199	286164	B1008V7	1588345	3
WTCHG_441199_287121	441199	287121	B1015V1	1140507	3
WTCHG_441199_287176	441199	287176	B1009V1	1486448	3
WTCHG_441199_288109	441199	288109	B1015V2	1516557	3
WTCHG_441199_288188	441199	288188	B1009V2	1670479	3
WTCHG_441199_289105	441199	289105	B1009V3	1540397	3
WTCHG_441199_289192	441199	289192	B1015V3	1215582	3
WTCHG_441199_290117	441199	290117	B1009V4	1654915	3
WTCHG_441199_290180	441199	290180	B1015V4	1229207	3
WTCHG_441199_291129	441199	291129	B1009V5	1954793	3
WTCHG_441199_291168	441199	291168	B1015V5	1258875	3
WTCHG_441199_292141	441199	292141	B1009V7	3407658	3
WTCHG_441199_292156	441199	292156	B1015V6	1314376	3
WTCHG_441199_293144	441199	293144	B1015V7	1259999	3
WTCHG_441199_293153	441199	293153	B1010V1	1522446	3
WTCHG_441199_294132	441199	294132	B1030V1	1742134	3
WTCHG_441199_294165	441199	294165	B1010V2	1675798	3
WTCHG_441199_295120	441199	295120	B1030V2	1527529	3
WTCHG_441199_295177	441199	295177	B1010V3	1833052	3
WTCHG_441199_296108	441199	296108	B1030V3	1122643	3
WTCHG_441199_296189	441199	296189	B1010V5	1502062	3
WTCHG_447702_201106	447702	201106	B1010V6	1736461	3
WTCHG_447702_201191	447702	201191	B1030V4	2080175	3
WTCHG_447702_202118	447702	202118	B1010V7	1750834	3
WTCHG_447702_202179	447702	202179	B1030V5	1914847	3
WTCHG_447702_203130	447702	203130	B1012V1	1623796	3
WTCHG_447702_203167	447702	203167	B1030V6	1718230	3
WTCHG_447702_204142	447702	204142	B1012V2	1641283	3
WTCHG_447702_204155	447702	204155	B1030V7	1827562	3
WTCHG_447702_205143	447702	205143	B1039V2	1543538	3
WTCHG_447702_205154	447702	205154	B1012V3	1769041	3
WTCHG_447702_206131	447702	206131	B1039V3	1509372	3
