WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_461233_293143	461233	293143	BHM00187	579680	4
WTCHG_461233_294131	461233	294131	JIA00076	3642532	4
WTCHG_461233_295119	461233	295119	OAS00055	3527624	4
WTCHG_461233_296107	461233	296107	OAS00059	3114897	4
WTCHG_467589_201190	467589	201190	BHM00174	3067617	4
WTCHG_467589_202178	467589	202178	BHM00175	3712977	4
WTCHG_467589_203166	467589	203166	BHM00176	2884376	4
WTCHG_467589_204154	467589	204154	BHM00177	2914445	4
WTCHG_467589_205142	467589	205142	BHM00179	2802826	4
WTCHG_467589_206130	467589	206130	BHM00188	2991256	4
WTCHG_467589_207118	467589	207118	OAS00025	2952521	4
WTCHG_467589_208106	467589	208106	OAS00032	2703490	4
WTCHG_467589_209189	467589	209189	OAS00057	3280664	4
WTCHG_467589_210177	467589	210177	UCL00020	3616694	4
WTCHG_467589_211165	467589	211165	UCL00023	3500057	4
WTCHG_467589_212153	467589	212153	BHM00198	2812851	4
WTCHG_467589_213141	467589	213141	BHM00199	3423891	4
WTCHG_467589_214129	467589	214129	BHM00208	3001991	4
WTCHG_467589_215117	467589	215117	OAS00073	2498191	4
WTCHG_467589_216105	467589	216105	OAS00078	2959640	4
WTCHG_467589_217188	467589	217188	ORA00032	2942890	4
WTCHG_467589_218176	467589	218176	UCL00022	3514292	4
WTCHG_467589_219164	467589	219164	BHM00141	2724811	4
WTCHG_467589_220152	467589	220152	BHM00178	3300521	4
WTCHG_467589_221140	467589	221140	BHM00190	3184543	4
WTCHG_467589_222128	467589	222128	BHM00196	3550646	4
WTCHG_467589_223116	467589	223116	BHM00197	2953973	4
WTCHG_467589_224104	467589	224104	BHM00202	3542812	4
WTCHG_467589_225187	467589	225187	BHM00205	3337214	4
WTCHG_467589_226175	467589	226175	BHM00207	4334387	4
WTCHG_467589_227163	467589	227163	BHM00224	2610822	4
WTCHG_467589_228151	467589	228151	BHM00227	3248319	4
WTCHG_467589_229139	467589	229139	BHM00193	3657790	4
WTCHG_467589_230127	467589	230127	JIA00077	3411014	4
WTCHG_467589_231115	467589	231115	OAS00069	2914084	4
WTCHG_467589_232103	467589	232103	OAS00070	3262175	4
WTCHG_467589_233186	467589	233186	OAS00077	3644399	4
WTCHG_467589_234174	467589	234174	OAS00083	3613854	4
WTCHG_467589_235162	467589	235162	BHM00191	4423255	4
WTCHG_467589_236150	467589	236150	BHM00201	3033792	4
WTCHG_467589_237138	467589	237138	BHM00206	3586460	4
WTCHG_467589_238126	467589	238126	BHM00211	3913780	4
WTCHG_467589_239114	467589	239114	BHM00212	2735808	4
WTCHG_467589_240102	467589	240102	BHM00213	3077424	4
WTCHG_467589_241185	467589	241185	BHM00216	3922090	4
WTCHG_467589_242173	467589	242173	BHM00229	3858441	4
WTCHG_467589_243161	467589	243161	BHM00238	3720052	4
WTCHG_467589_244149	467589	244149	OAS00080	2902390	4
WTCHG_467589_245137	467589	245137	NCL00035	3303296	4
WTCHG_467589_246125	467589	246125	NCL00058	3730854	4
WTCHG_467589_247113	467589	247113	NCL00043	3268143	4
WTCHG_467589_248101	467589	248101	NCL00044	3197055	4
WTCHG_467589_249196	467589	249196	NCL00029	3142825	4
WTCHG_467589_250184	467589	250184	NCL00030	2950117	4
WTCHG_467589_251172	467589	251172	NCL00032	3388000	4
WTCHG_467589_252160	467589	252160	NCL00034	3241224	4
WTCHG_467589_253148	467589	253148	OAS00063	3080025	4
WTCHG_467589_254136	467589	254136	BHM00154	3039911	4
WTCHG_467589_255124	467589	255124	MUS00007	2764368	4
WTCHG_467589_256112	467589	256112	OAS00041	3008935	4
WTCHG_467589_257195	467589	257195	BHM00146	3522262	4
WTCHG_467589_258183	467589	258183	BHM00157	3065144	4
WTCHG_467589_259171	467589	259171	JIA00024	2798350	4
WTCHG_467589_260159	467589	260159	JIA00039	2787091	4
WTCHG_467589_261147	467589	261147	OAS00029	3330426	4
WTCHG_467589_262135	467589	262135	OAS00046	3388052	4
WTCHG_467589_263123	467589	263123	OAS00048	2758716	4
WTCHG_467589_264111	467589	264111	BHM00149	3079954	4
WTCHG_467589_265194	467589	265194	JIA00070	3745732	4
WTCHG_467589_266182	467589	266182	BHM00158	3588227	4
WTCHG_467589_267170	467589	267170	JIA00069	2952452	4
WTCHG_467589_268158	467589	268158	JIA00071	3420668	4
WTCHG_467589_269146	467589	269146	OAS00044	3128781	4
WTCHG_467589_270134	467589	270134	UCL00008	2717141	4
WTCHG_467589_271122	467589	271122	BHM00159	2478976	4
WTCHG_467589_272110	467589	272110	BHM00160	3285044	4
WTCHG_467589_273193	467589	273193	BHM00163	4040617	4
WTCHG_467589_274181	467589	274181	BHM00164	3120386	4
WTCHG_467589_275169	467589	275169	BHM00165	2803765	4
WTCHG_467589_276157	467589	276157	BHM00167	2696550	4
WTCHG_467589_277145	467589	277145	BHM00168	2578374	4
WTCHG_467589_278133	467589	278133	BHM00169	2973252	4
WTCHG_467589_279121	467589	279121	BHM00182	2595658	4
WTCHG_467589_280109	467589	280109	JIA00052	3960424	4
WTCHG_467589_281192	467589	281192	OAS00056	3762178	4
WTCHG_467589_282180	467589	282180	BHM00171	2969817	4
