WTCHG	lane_id	seq_id	sampleID	count	batch
WTCHG_481247_293143	481247	293143	OAS00091	3626815	5
WTCHG_481247_294131	481247	294131	OAS00092	3691056	5
WTCHG_481247_295119	481247	295119	OAS00100	2869842	5
WTCHG_481247_296107	481247	296107	OAS00108	3673961	5
WTCHG_486408_201190	486408	201190	UCL00017	3386875	5
WTCHG_486408_202178	486408	202178	UCL00027	3562920	5
WTCHG_486408_203166	486408	203166	UCL00028	3559365	5
WTCHG_486408_204154	486408	204154	UCL00029	3459659	5
WTCHG_486408_205142	486408	205142	NCL00045	3653257	5
WTCHG_486408_206130	486408	206130	NCL00047	3783728	5
WTCHG_486408_207118	486408	207118	NCL00048	3615024	5
WTCHG_486408_208106	486408	208106	NCL00052	3371902	5
WTCHG_486408_209189	486408	209189	NCL00058	3553276	5
WTCHG_486408_210177	486408	210177	NCL00059	3558323	5
WTCHG_486408_211165	486408	211165	NCL00061	3531213	5
WTCHG_486408_212153	486408	212153	NCL00062	3456269	5
WTCHG_486408_213141	486408	213141	NCL00063	3690632	5
WTCHG_486408_214129	486408	214129	NCL00064	3089131	5
WTCHG_486408_215117	486408	215117	NCL00066	3546485	5
WTCHG_486408_216105	486408	216105	NCL00068	3133979	5
WTCHG_486408_217188	486408	217188	NCL00070	3421792	5
WTCHG_486408_218176	486408	218176	NCL00071	3523965	5
WTCHG_486408_219164	486408	219164	NCL00072	3579677	5
WTCHG_486408_220152	486408	220152	NCL00073	3492890	5
WTCHG_486408_221140	486408	221140	NCL00075	3585100	5
WTCHG_486408_222128	486408	222128	NCL00076	3469891	5
WTCHG_486408_223116	486408	223116	NCL00077	3727355	5
WTCHG_486408_224104	486408	224104	NCL00078	3446437	5
WTCHG_486408_225187	486408	225187	NCL00080	3652191	5
WTCHG_486408_226175	486408	226175	NCL00082	3707244	5
WTCHG_486408_227163	486408	227163	NCL00083	3365769	5
WTCHG_486408_228151	486408	228151	NCL00088	3462569	5
WTCHG_486408_229139	486408	229139	NCL00089	3535929	5
WTCHG_486408_230127	486408	230127	NCL00090	3280597	5
WTCHG_486408_231115	486408	231115	NCL00092	3191026	5
WTCHG_486408_232103	486408	232103	NCL00093	3386732	5
WTCHG_486408_233186	486408	233186	NCL00094	3025869	5
WTCHG_486408_234174	486408	234174	NCL00095	3863165	5
WTCHG_486408_235162	486408	235162	NCL00096	3105719	5
WTCHG_486408_236150	486408	236150	NCL00097	3615875	5
WTCHG_486408_237138	486408	237138	NCL00098	3125375	5
WTCHG_486408_238126	486408	238126	NCL00099	3315861	5
WTCHG_486408_239114	486408	239114	NCL00100	3570558	5
WTCHG_486408_240102	486408	240102	NCL00101	3677578	5
WTCHG_486408_241185	486408	241185	NCL00102	3493002	5
WTCHG_486408_242173	486408	242173	NCL00103	3599852	5
WTCHG_486408_243161	486408	243161	NCL00106	3778825	5
WTCHG_486408_244149	486408	244149	NCL00107	3562056	5
WTCHG_486408_245137	486408	245137	NCL00108	3469054	5
WTCHG_486408_246125	486408	246125	NCL00109	3699739	5
WTCHG_486408_247113	486408	247113	NCL00111	3402168	5
WTCHG_486408_248101	486408	248101	NCL00113	3518309	5
WTCHG_486408_249196	486408	249196	BHM00203	2678886	5
WTCHG_486408_250184	486408	250184	BHM00204	3653120	5
WTCHG_486408_251172	486408	251172	BHM00215	3575996	5
WTCHG_486408_252160	486408	252160	BHM00217	3421289	5
WTCHG_486408_253148	486408	253148	BHM00218	3405306	5
WTCHG_486408_254136	486408	254136	BHM00220	3523669	5
WTCHG_486408_255124	486408	255124	BHM00225	3468369	5
WTCHG_486408_256112	486408	256112	BHM00231	3431551	5
WTCHG_486408_257195	486408	257195	BHM00233	5422343	5
WTCHG_486408_258183	486408	258183	BHM00235	3499980	5
WTCHG_486408_259171	486408	259171	BHM00241	4270139	5
WTCHG_486408_260159	486408	260159	BHM00242	3220656	5
WTCHG_486408_261147	486408	261147	BHM00245	3437856	5
WTCHG_486408_262135	486408	262135	BHM00246	3447683	5
WTCHG_486408_263123	486408	263123	BHM00247	3889046	5
WTCHG_486408_264111	486408	264111	BHM00248	3679759	5
WTCHG_486408_265194	486408	265194	BHM00249	3779827	5
WTCHG_486408_266182	486408	266182	BHM00250	3759248	5
WTCHG_486408_267170	486408	267170	BHM00252	3871455	5
WTCHG_486408_268158	486408	268158	BHM00253	3941348	5
WTCHG_486408_269146	486408	269146	BHM00254	3796122	5
WTCHG_486408_270134	486408	270134	BHM00255	3558723	5
WTCHG_486408_271122	486408	271122	BHM00256	3538578	5
WTCHG_486408_272110	486408	272110	BHM00258	3580238	5
WTCHG_486408_273193	486408	273193	BHM00259	5039503	5
WTCHG_486408_274181	486408	274181	BHM00260	4171267	5
WTCHG_486408_275169	486408	275169	BHM00261	3618765	5
WTCHG_486408_276157	486408	276157	BHM00271	3702258	5
WTCHG_486408_277145	486408	277145	BHM00274	3282736	5
WTCHG_486408_278133	486408	278133	BHM00272	3414049	5
WTCHG_486408_279121	486408	279121	BHM00277	3599445	5
WTCHG_486408_280109	486408	280109	BHM00278	3449632	5
WTCHG_486408_281192	486408	281192	BHM00280	3662788	5
WTCHG_486408_282180	486408	282180	BHM00285	3538403	5
WTCHG_486408_283168	486408	283168	BHM00286	3714836	5
WTCHG_486408_284156	486408	284156	BHM00287	3642898	5
WTCHG_486408_285144	486408	285144	BHM00288	3581879	5
WTCHG_486408_286132	486408	286132	BHM00290	3416869	5
WTCHG_486408_287120	486408	287120	OAS00072	3521597	5
WTCHG_486408_288108	486408	288108	OAS00082	3446188	5
WTCHG_486408_289191	486408	289191	OAS00084	3916310	5
WTCHG_486408_290179	486408	290179	OAS00087	3477458	5
WTCHG_486408_291167	486408	291167	OAS00088	3560678	5
WTCHG_486408_292155	486408	292155	OAS00090	3397661	5
WTCHG_486408_293143	486408	293143	OAS00091	3475720	5
WTCHG_486408_294131	486408	294131	OAS00092	3483481	5
WTCHG_486408_295119	486408	295119	OAS00100	3078009	5
WTCHG_486408_296107	486408	296107	OAS00108	3544943	5
WTCHG_487925_201190	487925	201190	UCL00017	3317331	5
WTCHG_487925_202178	487925	202178	UCL00027	3473965	5
WTCHG_487925_203166	487925	203166	UCL00028	3471412	5
WTCHG_487925_204154	487925	204154	UCL00029	3384200	5
WTCHG_487925_205142	487925	205142	NCL00045	3596911	5
WTCHG_487925_206130	487925	206130	NCL00047	3663759	5
WTCHG_487925_207118	487925	207118	NCL00048	3528743	5
WTCHG_487925_208106	487925	208106	NCL00052	3290329	5
WTCHG_487925_209189	487925	209189	NCL00058	3500356	5
WTCHG_487925_210177	487925	210177	NCL00059	3486690	5
WTCHG_487925_211165	487925	211165	NCL00061	3451139	5
WTCHG_487925_212153	487925	212153	NCL00062	3381020	5
WTCHG_487925_213141	487925	213141	NCL00063	3579744	5
WTCHG_487925_214129	487925	214129	NCL00064	3011771	5
WTCHG_487925_215117	487925	215117	NCL00066	3478865	5
WTCHG_487925_216105	487925	216105	NCL00068	3045974	5
WTCHG_487925_217188	487925	217188	NCL00070	3393766	5
WTCHG_487925_218176	487925	218176	NCL00071	3444640	5
WTCHG_487925_219164	487925	219164	NCL00072	3530663	5
WTCHG_487925_220152	487925	220152	NCL00073	3381902	5
WTCHG_487925_221140	487925	221140	NCL00075	3494191	5
WTCHG_487925_222128	487925	222128	NCL00076	3404221	5
WTCHG_487925_223116	487925	223116	NCL00077	3626916	5
WTCHG_487925_224104	487925	224104	NCL00078	3386576	5
WTCHG_487925_225187	487925	225187	NCL00080	3547874	5
WTCHG_487925_226175	487925	226175	NCL00082	3595029	5
WTCHG_487925_227163	487925	227163	NCL00083	3297591	5
WTCHG_487925_228151	487925	228151	NCL00088	3383404	5
WTCHG_487925_229139	487925	229139	NCL00089	3434216	5
WTCHG_487925_230127	487925	230127	NCL00090	3228588	5
WTCHG_487925_231115	487925	231115	NCL00092	3117217	5
WTCHG_487925_232103	487925	232103	NCL00093	3289479	5
WTCHG_487925_233186	487925	233186	NCL00094	2974105	5
WTCHG_487925_234174	487925	234174	NCL00095	3748551	5
WTCHG_487925_235162	487925	235162	NCL00096	3016692	5
WTCHG_487925_236150	487925	236150	NCL00097	3561214	5
WTCHG_487925_237138	487925	237138	NCL00098	3056442	5
WTCHG_487925_238126	487925	238126	NCL00099	3240867	5
WTCHG_487925_239114	487925	239114	NCL00100	3512854	5
WTCHG_487925_240102	487925	240102	NCL00101	3552094	5
WTCHG_487925_241185	487925	241185	NCL00102	3417231	5
WTCHG_487925_242173	487925	242173	NCL00103	3511334	5
WTCHG_487925_243161	487925	243161	NCL00106	3625578	5
WTCHG_487925_244149	487925	244149	NCL00107	3497416	5
WTCHG_487925_245137	487925	245137	NCL00108	3345581	5
WTCHG_487925_246125	487925	246125	NCL00109	3582704	5
WTCHG_487925_247113	487925	247113	NCL00111	3354159	5
WTCHG_487925_248101	487925	248101	NCL00113	3451702	5
WTCHG_487925_249196	487925	249196	BHM00203	2632636	5
WTCHG_487925_250184	487925	250184	BHM00204	3550156	5
WTCHG_487925_251172	487925	251172	BHM00215	3498792	5
WTCHG_487925_252160	487925	252160	BHM00217	3336739	5
WTCHG_487925_253148	487925	253148	BHM00218	3303729	5
WTCHG_487925_254136	487925	254136	BHM00220	3443457	5
WTCHG_487925_255124	487925	255124	BHM00225	3365453	5
WTCHG_487925_256112	487925	256112	BHM00231	3320839	5
WTCHG_487925_257195	487925	257195	BHM00233	5269164	5
WTCHG_487925_258183	487925	258183	BHM00235	3411926	5
WTCHG_487925_259171	487925	259171	BHM00241	4193466	5
WTCHG_487925_260159	487925	260159	BHM00242	3143819	5
WTCHG_487925_261147	487925	261147	BHM00245	3369139	5
WTCHG_487925_262135	487925	262135	BHM00246	3362474	5
WTCHG_487925_263123	487925	263123	BHM00247	3759886	5
WTCHG_487925_264111	487925	264111	BHM00248	3578842	5
WTCHG_487925_265194	487925	265194	BHM00249	3707569	5
WTCHG_487925_266182	487925	266182	BHM00250	3670519	5
WTCHG_487925_267170	487925	267170	BHM00252	3767008	5
WTCHG_487925_268158	487925	268158	BHM00253	3853947	5
WTCHG_487925_269146	487925	269146	BHM00254	3683401	5
WTCHG_487925_270134	487925	270134	BHM00255	3480998	5
WTCHG_487925_271122	487925	271122	BHM00256	3446359	5
